,Code,County,FormerProvince,Area(km2),Population(2009 Census),Population(2019 Census),Capital
0,1.0,Mombasa (County),Coast,212.5,939370,1208333,Mombasa (City)
1,2.0,Kwale,Coast,8270.3,649931,866820,Kwale
2,3.0,Kilifi,Coast,12245.9,1109735,1453787,Kilifi
3,4.0,Tana River,Coast,35375.8,240075,315943,Hola
4,5.0,Lamu,Coast,6497.7,191539,143920,Lamu
5,6.0,Taitaâ€“Taveta,Coast,17083.9,284657,340671,Mwatate
6,7.0,Garissa,North Eastern,45720.2,623060,841353,Garissa
7,8.0,Wajir,North Eastern,55840.6,661941,781263,Wajir
8,9.0,Mandera,North Eastern,25797.7,1025756,867457,Mandera
9,10.0,Marsabit,Eastern,66923.1,291166,459785,Marsabit
10,11.0,Isiolo,Eastern,25336.1,143294,268002,Isiolo
11,12.0,Meru,Eastern,7003.1,1356301,1545714,Meru
12,13.0,Tharaka-Nithi,Eastern,2609.5,365330,393177,Kathwana
13,14.0,Embu,Eastern,2555.9,516212,608599,Embu
14,15.0,Kitui,Eastern,24385.1,1012709,1136187,Kitui
15,16.0,Machakos,Eastern,5952.9,1098584,1421932,Machakos
16,17.0,Makueni,Eastern,8008.9,884527,987653,Wote
17,18.0,Nyandarua,Central,3107.7,596268,638289,Ol Kalou
18,19.0,Nyeri,Central,2361.0,693558,759164,Nyeri
19,20.0,Kirinyaga,Central,1205.4,528054,610411,Kerugoya / Kutus
20,21.0,Murang'a,Central,2325.8,942581,1056640,Murang'a
21,22.0,Kiambu,Central,2449.2,1623282,2417735,Kiambu
22,23.0,Turkana,Rift Valley,71597.8,855399,926976,Lodwar
23,24.0,West Pokot,Rift Valley,8418.2,512690,621241,Kapenguria
24,25.0,Samburu,Rift Valley,20182.5,223947,310327,Maralal
25,26.0,Trans-Nzoia,Rift Valley,2469.9,818757,990341,Kitale
26,27.0,Uasin Gishu,Rift Valley,2955.3,894179,1163186,Eldoret
27,28.0,Elgeyo-Marakwet,Rift Valley,3049.7,369998,454480,Iten
28,29.0,Nandi,Rift Valley,2884.5,752965,885711,Kapsabet
29,30.0,Baringo,Rift Valley,11075.3,555561,666763,Kabarnet
30,31.0,Laikipia,Rift Valley,8696.1,399227,518560,Rumuruti
31,32.0,Nakuru,Rift Valley,7509.5,1603325,2162202,Nakuru (City)[8][9]
32,33.0,Narok,Rift Valley,17921.2,850920,1157873,Narok
33,34.0,Kajiado,Rift Valley,21292.7,687312,1117840,Kajiado
34,35.0,Kericho,Rift Valley,2454.5,752396,901777,Kericho
35,36.0,Bomet,Rift Valley,1997.9,730129,875689,Bomet
36,37.0,Kakamega,Western,3033.8,1660651,1867579,Kakamega
37,38.0,Vihiga,Western,531.3,554622,590013,Vihiga
38,39.0,Bungoma,Western,2206.9,1375063,1670570,Bungoma
39,40.0,Busia,Western,1628.4,743946,893681,Busia
40,41.0,Siaya,Nyanza,2496.1,842304,993183,Siaya
41,42.0,Kisumu,Nyanza,2009.5,968909,1155574,Kisumu(City)
42,43.0,Homa Bay,Nyanza,3154.7,963794,1131950,Homa Bay
43,44.0,Migori,Nyanza,2586.4,917170,1116436,Migori
44,45.0,Kisii,Nyanza,1317.9,1152282,1266860,Kisii
45,46.0,Nyamira,Nyanza,912.5,598252,605576,Nyamira
46,47.0,Nairobi (County),Nairobi (Province),694.9,3138369,4397073,Nairobi (City)
47,,,,581309.0,38610997,47564296,Nairobi
